Timestamp,Name,Class,1st Preference,2nd Preference,3rd Preference,1st Preference,2nd Preference,3rd Preference
2018/10/22 04:34:17 PM UTC,Tom FENL,P4G,Swedish (Thursday) - U,Dutch (Thursday) - T,Danish (Thursday) - V,Spanish (Tuesday) - Y,Danish (Thursday) - V,Polish (Wednesday) - S
2018/10/22 04:34:17 PM UTC,Tom NABB,P4G,Spanish (Tuesday) - Y,French (Tuesday) - Z,Danish (Thursday) - V,French (Tuesday) - Z,Polish (Wednesday) - S,Swedish (Thursday) - U
2018/10/22 04:40:17 PM UTC,Tom OOZB,P6C,Chinese (Wednesday) - W,French (Tuesday) - Z,Swedish (Thursday) - U,German (Thursday) - X,Swedish (Thursday) - U,Danish (Thursday) - V
2018/10/22 04:47:17 PM UTC,Tom QIIT,P4H,French (Tuesday) - Z,Dutch (Thursday) - T,Polish (Wednesday) - S,German (Thursday) - X,Chinese (Wednesday) - W,Spanish (Tuesday) - Y
2018/10/22 04:53:17 PM UTC,Tom OPIB,P4H,Swedish (Thursday) - U,Dutch (Thursday) - T,French (Tuesday) - Z,Swedish (Thursday) - U,French (Tuesday) - Z,Chinese (Wednesday) - W
2018/10/22 05:41:17 PM UTC,Tom WCGU,P4G,Spanish (Tuesday) - Y,French (Tuesday) - Z,German (Thursday) - X,Spanish (Tuesday) - Y,Chinese (Wednesday) - W,Swedish (Thursday) - U
2018/10/22 06:31:17 PM UTC,Tom TRRX,P7B,French (Tuesday) - Z,Spanish (Tuesday) - Y,Danish (Thursday) - V,French (Tuesday) - Z,Polish (Wednesday) - S,Danish (Thursday) - V
2018/10/22 06:47:17 PM UTC,Tom CKYM,P5E,German (Thursday) - X,Chinese (Wednesday) - W,Swedish (Thursday) - U,French (Tuesday) - Z,Danish (Thursday) - V,Dutch (Thursday) - T
2018/10/22 07:16:17 PM UTC,Tom GBWX,P6D,Swedish (Thursday) - U,Spanish (Tuesday) - Y,Chinese (Wednesday) - W,German (Thursday) - X,Dutch (Thursday) - T,French (Tuesday) - Z
2018/10/22 07:57:17 PM UTC,Tom NARY,P6D,Swedish (Thursday) - U,Spanish (Tuesday) - Y,Polish (Wednesday) - S,Polish (Wednesday) - S,Chinese (Wednesday) - W,Danish (Thursday) - V
2018/10/22 08:06:17 PM UTC,Tom NZFK,P7B,German (Thursday) - X,Chinese (Wednesday) - W,Danish (Thursday) - V,German (Thursday) - X,Spanish (Tuesday) - Y,Polish (Wednesday) - S
